Geschlecht,Alter,Bildungsabschluss,Einkommen,BioV,Gruppe_Bio,Bedingung,CCP,CCC
2,38,9,9,5,2,KG A,2,2
,,,,,,,,
2,58,7,5,5,2,KG A,1,1
,,,,,,,,
1,20,7,0,5,2,KG A,2,2
,,,,,,,,
1,46,5,5,5,2,KG A,1,1
,,,,,,,,
1,34,9,9,5,2,KG A,1,1
,,,,,,,,
2,50,3,2,5,2,KG A,1,1
,,,,,,,,
1,46,6,8,5,2,KG A,1,1
,,,,,,,,
2,32,9,6,5,2,KG A,2,2
,,,,,,,,
1,30,8,0,5,2,KG B,1,1
,,,,,,,,
1,29,9,4,5,2,KG B,2,2
,,,,,,,,
1,27,8,5,5,2,KG B,2,2
,,,,,,,,
1,60,5,2,5,2,KG B,1,1
,,,,,,,,
1,51,8,3,5,2,KG B,1,1
,,,,,,,,
1,27,3,2,5,2,KG B,1,1
,,,,,,,,
1,30,9,0,5,2,KG B,1,1
,,,,,,,,
2,48,9,9,5,2,KG B,1,1
,,,,,,,,
1,75,8,5,5,2,KG B,1,1
,,,,,,,,
2,76,3,5,5,2,KG B,1,1
,,,,,,,,
1,43,9,2,5,2,KG B,2,2
,,,,,,,,
1,66,9,4,5,2,KG B,1,1
,,,,,,,,
1,56,5,7,5,2,KG B,1,1
,,,,,,,,
1,49,5,3,5,2,KG B,1,1
,,,,,,,,
2,36,4,5,5,2,KG B,1,1
,,,,,,,,
2,32,8,8,5,2,KG B,1,1
,,,,,,,,
1,53,5,3,5,2,KG B,1,1
,,,,,,,,
2,56,5,3,5,2,KG B,1,1
,,,,,,,,
2,66,5,5,5,2,KG B,1,1
,,,,,,,,
1,64,5,5,5,2,KG B,1,1
,,,,,,,,
2,68,9,4,"5,25",2,Intervention A,2,2
,,,,,,,,
2,56,3,5,"5,25",2,Intervention A,2,2
,,,,,,,,
2,62,4,2,"5,25",2,Intervention A,2,2
,,,,,,,,
1,39,9,7,"5,25",2,Intervention A,2,2
,,,,,,,,
2,54,9,9,"5,25",2,Intervention A,2,2
,,,,,,,,
2,39,8,5,"5,25",2,Intervention A,2,2
,,,,,,,,
2,63,4,8,"5,25",2,Intervention A,2,2
,,,,,,,,
2,56,5,2,"5,25",2,Intervention A,1,2
,,,,,,,,
2,29,4,3,"5,25",2,Intervention A,1,1
,,,,,,,,
1,42,4,3,"5,25",2,Intervention A,1,1
,,,,,,,,
1,52,8,6,"5,25",2,Intervention A,1,1
,,,,,,,,
1,31,5,6,"5,25",2,Intervention A,1,1
,,,,,,,,
2,71,9,6,"5,25",2,Intervention B,1,2
,,,,,,,,
2,26,8,4,"5,25",2,Intervention B,1,1
,,,,,,,,
1,56,6,2,"5,25",2,Intervention B,1,2
,,,,,,,,
1,63,4,4,"5,25",2,Intervention B,1,1
,,,,,,,,
2,41,4,1,"5,25",2,Intervention B,1,1
,,,,,,,,
2,35,8,3,"5,25",2,Intervention B,2,2
,,,,,,,,
1,19,7,0,"5,25",2,Intervention B,2,2
,,,,,,,,
2,71,8,7,"5,25",2,Intervention B,1,2
,,,,,,,,
1,73,8,3,"5,25",2,Intervention B,2,2
,,,,,,,,
2,21,9,7,"5,25",2,Intervention B,1,1
,,,,,,,,
1,57,4,4,"5,25",2,Intervention B,1,1
,,,,,,,,
1,24,7,1,"5,25",2,KG A,1,1
,,,,,,,,
2,48,4,6,"5,25",2,KG A,1,1
,,,,,,,,
